procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 278656 238488  78784 1706892    0    0     0     0  328  448  2  1 98  0  0
 0  0 278656 238488  78784 1706892    0    0     0     0  356  531  1  1 98  0  0
 0  0 278656 238488  78788 1706892    0    0     0   140  411  607  1  1 97  1  0
 0  0 278656 239244  78788 1706892    0    0     0   148  416  556  2  1 97  0  0
 0  0 278656 239244  78788 1706892    0    0     0     0  353  482  1  0 99  0  0
 0  0 278656 239244  78788 1706892    0    0     0     0  371  521  2  1 97  0  0
 0  0 278656 239244  78788 1706892    0    0     0     0  396  595  2  1 97  0  0
 0  0 278656 239244  78788 1706892    0    0     0     0  418  667  2  1 97  0  0
 0  0 278656 239244  78796 1706892    0    0     0    56  413  567  2  1 97  0  0
 0  0 278656 239244  78796 1706896    0    0     0     0  353  486  1  1 99  0  0
 1  0 278656 239244  78796 1706896    0    0     0     0  403  529  2  1 97  0  0
 0  0 278656 239496  78796 1706896    0    0     0     0  263  511  0  0 99  0  0
 1  0 278656 239496  78796 1706896    0    0     0     0  304  465  2  1 97  0  0
 0  0 278656 239496  78796 1706896    0    0     0     0  360  517  1  1 98  0  0
 0  0 278656 239496  78800 1706896    0    0     0    16  377  521  1  1 98  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 278656 239496  78800 1706896    0    0     0     0  284  421  2  1 98  0  0
 0  0 278656 239496  78800 1706896    0    0     0     0  316  467  1  1 98  0  0
 0  0 278656 239496  78800 1706896    0    0     0     0  287  455  1  1 98  0  0
 0  0 278656 239496  78800 1706896    0    0     0     0  373  523  1  1 98  0  0
 0  0 278656 239496  78800 1706896    0    0     0     0  334  473  0  0 99  0  0
 0  0 278656 239496  78808 1706896    0    0     0    12  450  628  1  1 98  1  0
 2  0 278656 239496  78808 1706896    0    0     0     0  328  458  1  0 98  0  0
 0  0 278656 240252  78808 1706896    0    0     0     0  390  557  1  1 99  0  0
 1  0 278656 240252  78808 1706896    0    0     0     0  420  544  1  1 98  0  0
 1  0 278656 240252  78808 1706896    0    0     0     0  472  704  2  1 97  0  0
 1  0 278656 240252  78808 1706896    0    0     0     0  674  943  3  2 95  0  0
 1  0 278656 240252  78816 1706768    0    0     0    24  902 1395  5  2 93  0  0
 0  0 278656 240252  78816 1706896    0    0     0     0  880 1209  4  2 94  0  0
 0  0 278656 240252  78848 1706896    0    0     0   208  728  985  4  2 92  2  0
 
 
Ideally, we should expect "si" and "so" values to be minimal as the system has sufficient free RAM to accommodate the program's memory allocation (10 MB every second).
 
I observed that for some seconds, as seen above, the values of si increases in subsequent iterations. But the change to so is negligible. My thoughts are that there isn't
enough memory pressure to require swapping out data to the disk.
